,ID,descriptions,prices,Brand,rating,free_shipping,daraz_mall,seller_rating,ontime_rating
191,192,"Redmi Note 12 Pro - 8GB RAM 256GB ROM - 6.67"" SuperAmoled Display - 5000mAh Battery","Rs. 89,999",No Brand,0,,0,91%,74%
192,193,"Xiaomi Redmi Note 12 RAM 8 GB ROM 256 Front Camera 13 MP Back Camera 50 MP + 8 MP + 2 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 63,000",No Brand,0,Free Shipping,0,91%,100%
193,194,"Xiaomi Redmi Note 12 RAM 6 GB ROM 128 Front Camera 13 MP Back Camera 50 MP + 8 MP + 2 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 54,999",No Brand,4.9,Free Shipping,0,84%,74%
194,195,"Redmi Note 12 Pro , 8GB RAM 256GB ROM , 108MP Main Camera , Finger Sensor , 5000mAh Fast Charging","Rs. 90,210",No Brand,0,Free Shipping,0,85%,96%
195,196,Redmi Note 12 - 6GB Ran 128GB Rom - 5000mAh Battery,"Rs. 64,999",No Brand,5,Free Shipping,0,95%,100%
196,197,"Xiaomi Redmi Note 12 RAM 6 GB ROM 128 Front Camera 13 MP Back Camera 50 MP + 8 MP + 2 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 54,999",No Brand,0,Free Shipping,0,95%,85%
197,198,"Xiaomi Redmi Note 12 RAM 6 GB ROM 128 Front Camera 13 MP Back Camera 50 MP + 8 MP + 2 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 54,999",No Brand,0,Free Shipping,0,95%,100%
198,199,"Xiaomi Redmi Note 12 RAM 8 GB ROM 128 Front Camera 13 MP Back Camera 50 MP + 8 MP + 2 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 59,880",No Brand,0,Free Shipping,0,91%,100%
199,200,"Redmi Note 12 Pro , 8GB RAM 256GB ROM , 108MP Main Camera , Finger Sensor , 5000mAh Fast Charging","Rs. 91,179",No Brand,0,Free Shipping,0,95%,74%
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
